id,spcd,genus,species,scientificname,commonname,notes,created_at,updated_at,AcceptedSymbol,SynonymSymbol,Symbol,PLANTS_Floristic_Area,State,Category,Family,FamilySymbol,FamilyCommonName,xOrder,SubClass,Class,SubDivision,Division,SuperDivision,SubKingdom,Kingdom,ITIS_TSN,Duration,GrowthHabit,NativeStatus,NationalWetlandIndicatorStatus,RegionalWetlandIndicatorStatus,ActiveGrowthPeriod,AfterHarvestRegrowthRate,Bloat,C2N_Ratio,CoppicePotential,FallConspicuous,FireResistance,FoliageTexture,GrowthForm,GrowthRate,MaxHeight20Yrs,MatureHeight,KnownAllelopath,LeafRetention,Lifespan,LowGrowingGrass,NitrogenFixation,ResproutAbility,AdaptedCoarseSoils,AdaptedMediumSoils,AdaptedFineSoils,AnaerobicTolerance,CaCO3Tolerance,ColdStratification,DroughtTolerance,FertilityRequirement,FireTolerance,MinFrostFreeDays,HedgeTolerance,MoistureUse,pH_Minimum,pH_Maximum,Min_PlantingDensity,Max_PlantingDensity,Precipitation_Minimum,Precipitation_Maximum,RootDepthMinimum,SalinityTolerance,ShadeTolerance,TemperatureMinimum,BloomPeriod,CommercialAvailability,FruitSeedPeriodBegin,FruitSeedPeriodEnd,Propogated_by_BareRoot,Propogated_by_Bulbs,Propogated_by_Container,Propogated_by_Corms,Propogated_by_Cuttings,Propogated_by_Seed,Propogated_by_Sod,Propogated_by_Sprigs,Propogated_by_Tubers,Seeds_per_Pound,SeedSpreadRate,SeedlingVigor
2588,,Sorghum,"",Sorghum bicolor,sorghum,"",,2011-03-01 21:02:40,SOBI2,"",SOBI2,"NA (L48, CAN), HI, PR, VI","<strong>USA</strong> (AL, AR, AZ, CO, CT, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WY), <strong>USA+</strong> (PR, VI), <strong>CAN</strong> (ON, QC, CA)",Monocot,Poaceae,POACEA,Grass family,Cyperales,Commelinidae,Liliopsida,"",Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,42108,Annual,Graminoid,"L48 (I), HI (I), PR (I), VI (I), CAN (I)","UPL, FAC","1(UPL), 2(FACU), 3(UPL), 4(NI), 6(FACU*), 7(UPL*), 8(FACU), 0(FAC*), C(NI*), H(FACU-)",Summer and Fall,Rapid,None,Low,No,No,No,Coarse,Bunch,Rapid,0,4,No,No,Short,No,"",No,Yes,Yes,Yes,None,Low,No,High,High,Low,90,None,Medium,5.00,7.00,0,0,18,60,12,Medium,Intolerant,47,Late Summer,Routinely Available,Summer,Fall,No,No,No,No,No,Yes,No,No,No,27280,Slow,High
11130,,Triticum,"",Triticum durum,durum wheat,"",2011-03-02 13:45:46,2011-03-02 13:45:46,TRDU3,"",TRDU3,NA (CAN),"<strong>CAN</strong> (AB, MB, SK)",Monocot,Poaceae,POACEA,Grass family,Cyperales,Commelinidae,Liliopsida,"",Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,42240,"",Graminoid,CAN (I),"","","","","","","","","","","","",0,0,"","","","","","","","","","","","","","","",0,"","",0.00,0.00,0,0,0,0,0,"","",0,"","","","","","","","","","","","","",0,"",""
