id,site_id,specie_id,citation_id,cultivar_id,treatment_id,date,dateloc,time,timeloc,mean,n,statname,stat,notes,created_at,updated_at,variable_id,user_id,checked,access_level,entity_id,method_id,date_year,date_month,date_day,time_hour,time_minute
6000012182,6000003570,2588,6000000007,6000000383,6000000014,2016-08-08 07:00:00,5.00,,9.00,0.1825,,"",,"",2016-11-08 23:31:36.426142,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000007376,6000000003,,,,,
6000012532,6000003570,2588,6000000007,6000000383,6000000014,2016-09-08 07:00:00,5.00,,9.00,0.6086,,"",,"",2016-11-08 23:31:38.129898,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000007726,6000000003,,,,,
6000012882,6000003570,2588,6000000007,6000000383,6000000014,2016-09-16 07:00:00,5.00,,9.00,0.7706,,"",,"",2016-11-08 23:31:39.852096,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000008076,6000000003,,,,,
6000012183,6000003571,2588,6000000007,6000000321,6000000014,2016-08-08 07:00:00,5.00,,9.00,0.1779,,"",,"",2016-11-08 23:31:36.430652,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000007377,6000000003,,,,,
6000012533,6000003571,2588,6000000007,6000000321,6000000014,2016-09-08 07:00:00,5.00,,9.00,0.4787,,"",,"",2016-11-08 23:31:38.134354,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000007727,6000000003,,,,,
6000012883,6000003571,2588,6000000007,6000000321,6000000014,2016-09-16 07:00:00,5.00,,9.00,0.6973,,"",,"",2016-11-08 23:31:39.856351,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000008077,6000000003,,,,,
6000013233,6000003571,2588,6000000007,6000000321,6000000014,2016-10-25 07:00:00,5.00,,9.00,0.6897,,"",,"",2016-11-08 23:31:41.526622,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000008427,6000000003,,,,,
6000012184,6000003572,2588,6000000007,6000000361,6000000014,2016-08-08 07:00:00,5.00,,9.00,0.08009,,"",,"",2016-11-08 23:31:36.4354,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000007378,6000000003,,,,,
6000012534,6000003572,2588,6000000007,6000000361,6000000014,2016-09-08 07:00:00,5.00,,9.00,0.3974,,"",,"",2016-11-08 23:31:38.138891,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000007728,6000000003,,,,,
6000012884,6000003572,2588,6000000007,6000000361,6000000014,2016-09-16 07:00:00,5.00,,9.00,0.6681,,"",,"",2016-11-08 23:31:39.860634,2017-10-05 22:42:01.064551,604,6000000005,1,3,6000008078,6000000003,,,,,
